Data;Regiao;Sistema;Classe;TipoConsumidor;Consumo
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Cativo;412.151,6
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Comercial;Livre;294.565,4
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Cativo;54.079,7
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Industrial;Livre;915.742,0
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Cativo;306.188,0
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Outros;Livre;65.370,3
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Cativo;1.508.165,7
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Residencial;Livre;213,4
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Cativo;267.599,8
01/03/2026;Centro-Oeste;SUDESTE / CENTRO - OESTE;Rural;Livre;39.130,3
01/03/2026;Nordeste;NORDESTE;Comercial;Cativo;611.740,5
01/03/2026;Nordeste;NORDESTE;Comercial;Livre;575.256,7
01/03/2026;Nordeste;NORDESTE;Industrial;Cativo;75.236,9
01/03/2026;Nordeste;NORDESTE;Industrial;Livre;1.699.412,7
01/03/2026;Nordeste;NORDESTE;Outros;Cativo;696.020,0
01/03/2026;Nordeste;NORDESTE;Outros;Livre;266.581,6
01/03/2026;Nordeste;NORDESTE;Residencial;Cativo;2.790.584,5
01/03/2026;Nordeste;NORDESTE;Residencial;Livre;81,7
01/03/2026;Nordeste;NORDESTE;Rural;Cativo;330.083,8
01/03/2026;Nordeste;NORDESTE;Rural;Livre;33.461,5
01/03/2026;Nordeste;NORTE INTERLIGADO;Comercial;Cativo;59.720,6
01/03/2026;Nordeste;NORTE INTERLIGADO;Comercial;Livre;54.834,5
01/03/2026;Nordeste;NORTE INTERLIGADO;Industrial;Cativo;8.481,3
01/03/2026;Nordeste;NORTE INTERLIGADO;Industrial;Livre;622.429,9
